"data__id","data__name","data__symbol","data__website_slug","metadata__timestamp","metadata__num_cryptocurrencies","metadata__error"
"1","Bitcoin","BTC","bitcoin","1528280218","1644","null"
"2","Litecoin","LTC","litecoin","","",""
"3","Namecoin","NMC","namecoin","","",""
"4","Terracoin","TRC","terracoin","","",""
"5","Peercoin","PPC","peercoin","","",""
"6","Novacoin","NVC","novacoin","","",""
"8","Feathercoin","FTC","feathercoin","","",""
"9","Mincoin","MNC","mincoin","","",""
"10","Freicoin","FRC","freicoin","","",""
"13","Ixcoin","IXC","ixcoin","","",""
"14","BitBar","BTB","bitbar","","",""
"16","WorldCoin","WDC","worldcoin","","",""
"18","Digitalcoin","DGC","digitalcoin","","",""
"25","GoldCoin","GLD","goldcoin","","",""
"31","Argentum","ARG","argentum","","",""
"32","Fastcoin","FST","fastcoin","","",""
"34","Bitgem","BTG","bitgem","","",""
"35","Phoenixcoin","PXC","phoenixcoin","","",""
"37","Megacoin","MEC","megacoin","","",""
"41","Infinitecoin","IFC","infinitecoin","","",""
"42","Primecoin","XPM","primecoin","","",""
"43","Anoncoin","ANC","anoncoin","","",""
"45","CasinoCoin","CSC","casinocoin","","",""
"49","Bullion","CBX","bullion","","",""
"50","Emerald Crypto","EMD","emerald","","",""
"51","GlobalCoin","GLC","globalcoin","","",""
"52","Ripple","XRP","ripple","","",""
"53","Quark","QRK","quark","","",""
"56","Zetacoin","ZET","zetacoin","","",""
"57","SecureCoin","SRC","securecoin","","",""
"58","Sexcoin","SXC","sexcoin","","",""
"61","TagCoin","TAG","tagcoin","","",""
"63","I0Coin","I0C","i0coin","","",""
"64","FlorinCoin","FLO","florincoin","","",""
"66","Nxt","NXT","nxt","","",""
"67","Unobtanium","UNO","unobtanium","","",""
"68","Joulecoin","XJO","joulecoin","","",""
"69","Datacoin","DTC","datacoin","","",""
"70","BetaCoin","BET","betacoin","","",""
"71","GrandCoin","GDC","grandcoin","","",""
"72","Deutsche eMark","DEM","deutsche-emark","","",""
"74","Dogecoin","DOGE","dogecoin","","",""
"75","NetCoin","NET","netcoin","","",""
"76","Philosopher Stones","PHS","philosopher-stones","","",""
"77","Diamond","DMD","diamond","","",""
"78","HoboNickels","HBN","hobonickels","","",""
"79","Tigercoin","TGC","tigercoin","","",""
"80","Orbitcoin","ORB","orbitcoin","","",""
"83","Omni","OMNI","omni","","",""
"84","Catcoin","CAT","catcoin","","",""
"87","FedoraCoin","TIPS","fedoracoin","","",""
"88","RonPaulCoin","RPC","ronpaulcoin","","",""
"89","Mooncoin","MOON","mooncoin","","",""
"90","Dimecoin","DIME","dimecoin","","",""
"93","42-coin","42","42-coin","","",""
"99","Vertcoin","VTC","vertcoin","","",""
"101","KlondikeCoin","KDC","klondikecoin","","",""
"103","RedCoin","RED","redcoin","","",""
"109","DigiByte","DGB","digibyte","","",""
"113","SmartCoin","SMC","smartcoin","","",""
"114","TeslaCoin","TES","teslacoin","","",""
"116","Karmacoin","KARMA","karmacoin","","",""
"117","NobleCoin","NOBL","noblecoin","","",""
"118","ReddCoin","RDD","reddcoin","","",""
"120","Nyancoin","NYAN","nyancoin","","",""
"121","UltraCoin","UTC","ultracoin","","",""
"122","PotCoin","POT","potcoin","","",""
